City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
68,Buala,SB,-8.14,159.59,83.91,72,49,7.18,scattered clouds,0.0,0.0
69,Estelle,US,29.85,-90.11,87.01,83,75,11.41,haze,0.0,0.0
70,Hermanus,ZA,-34.42,19.23,48.99,96,0,1.01,clear sky,0.0,0.0
71,Mataura,NZ,-46.19,168.86,42.39,89,100,3.87,light rain,0.15,0.0
72,Salta,AR,-24.79,-65.41,48.2,39,0,6.93,clear sky,0.0,0.0
73,Cabo San Lucas,MX,22.89,-109.91,82.0,83,40,6.93,scattered clouds,0.0,0.0
74,Lompoc,US,34.64,-120.46,66.99,68,0,13.87,clear sky,0.0,0.0
75,Cherskiy,RU,68.75,161.3,55.85,50,61,14.29,broken clouds,0.0,0.0
76,New Norfolk,AU,-42.78,147.06,48.0,78,38,1.01,scattered clouds,0.0,0.0
77,Puerto Ayora,EC,-0.74,-90.35,71.01,91,69,8.99,broken clouds,0.0,0.0
78,Maceio,BR,-9.67,-35.74,71.6,88,75,5.82,broken clouds,0.0,0.0
79,Georgetown,MY,5.41,100.34,82.4,94,20,3.36,few clouds,0.0,0.0
80,San Cristobal,VE,7.77,-72.22,65.98,83,3,1.95,clear sky,0.0,0.0
81,Beringovskiy,RU,63.05,179.32,40.89,96,100,4.52,light rain,0.49,0.0
82,Altenholz,DE,54.4,10.13,55.0,96,100,1.99,overcast clouds,0.0,0.0
83,Asau,RO,46.43,26.4,57.99,87,5,4.36,clear sky,0.0,0.0
84,Namibe,AO,-15.2,12.15,67.73,80,0,5.23,clear sky,0.0,0.0
85,Avarua,CK,-21.21,-159.78,78.8,74,58,17.22,broken clouds,0.0,0.0
86,Jinka,ET,5.65,36.65,64.06,67,92,2.48,overcast clouds,0.0,0.0
87,Leningradskiy,RU,69.38,178.42,35.15,96,100,2.1,overcast clouds,0.0,0.0
88,Sohag,EG,26.56,31.69,74.37,26,0,7.63,clear sky,0.0,0.0
89,Tasiilaq,GL,65.61,-37.64,44.6,45,100,18.34,light rain,0.46,0.0
90,Vitoria,BR,-20.32,-40.34,69.8,88,40,3.36,scattered clouds,0.0,0.0
91,Ponta Do Sol,PT,32.67,-17.1,69.8,68,20,11.41,few clouds,0.0,0.0
92,Sibu,MY,2.3,111.82,80.6,88,20,3.36,few clouds,0.0,0.0
93,Weyburn,CA,49.67,-103.85,64.99,92,100,5.01,light rain,0.31,0.0
94,Urumqi,CN,43.8,87.6,69.8,46,0,4.47,clear sky,0.0,0.0
95,Bethel,US,41.37,-73.41,69.8,83,75,1.86,broken clouds,0.0,0.0
96,Iracoubo,GF,5.48,-53.2,78.03,88,100,10.63,moderate rain,1.15,0.0
97,Lata,PT,40.16,-8.33,64.99,90,100,5.01,overcast clouds,0.0,0.0
98,Vao,NC,-22.67,167.48,67.6,70,14,18.88,few clouds,0.0,0.0
99,Bengkulu,ID,-3.8,102.27,82.11,66,53,2.17,broken clouds,0.0,0.0
100,Nikolskoye,RU,59.7,30.79,59.0,87,40,8.95,scattered clouds,0.0,0.0
101,Vila Franca Do Campo,PT,37.72,-25.43,66.2,88,75,5.82,broken clouds,0.0,0.0
102,Sorland,NO,67.67,12.69,45.59,85,50,23.69,scattered clouds,0.0,0.0
103,Gebre Guracha,ET,9.8,38.4,53.76,94,100,1.32,overcast clouds,0.0,0.0
104,Oranjemund,NA,-28.55,16.43,64.49,32,0,5.5,clear sky,0.0,0.0
105,Marystown,CA,47.17,-55.15,61.34,96,100,13.42,overcast clouds,0.0,0.0
106,Codrington,AU,-38.27,141.97,58.87,57,0,19.22,clear sky,0.0,0.0
107,Poum,NC,-20.23,164.02,70.5,67,29,18.43,light rain,0.11,0.0
108,Adrar,MR,20.5,-10.07,92.61,31,0,13.29,clear sky,0.0,0.0
109,Meadow Lake,US,34.8,-106.54,86.0,9,1,17.22,clear sky,0.0,0.0
110,Carnarvon,AU,-24.87,113.63,62.6,88,0,13.87,clear sky,0.0,0.0
111,Mar Del Plata,AR,-38.0,-57.56,48.99,81,75,18.34,broken clouds,0.0,0.0
112,Karratha,AU,-20.74,116.85,81.37,31,84,9.8,broken clouds,0.0,0.0
113,Bosobolo,CD,4.18,19.9,68.07,97,96,1.05,overcast clouds,0.0,0.0
114,Tombouctou,ML,20.0,-3.0,87.55,38,5,11.7,clear sky,0.0,0.0
115,Zhigalovo,RU,54.81,105.16,84.0,38,51,2.73,broken clouds,0.0,0.0
116,Maragogi,BR,-9.01,-35.22,75.0,84,2,6.8,light rain,0.18,0.0
117,Dong Hoi,VN,17.48,106.6,88.95,58,96,15.35,overcast clouds,0.0,0.0
118,Grand Gaube,MU,-20.01,57.66,66.0,81,10,5.99,clear sky,0.0,0.0
119,Nizhniy Tsasuchey,RU,50.52,115.13,66.85,71,97,3.91,overcast clouds,0.0,0.0
120,Chara,RU,56.91,118.26,78.57,34,33,2.37,scattered clouds,0.0,0.0
121,Nenjiang,CN,49.18,125.22,78.49,62,0,8.08,clear sky,0.0,0.0
122,Yenotayevka,RU,47.25,47.03,66.0,86,4,8.01,clear sky,0.0,0.0
123,Cuamba,MZ,-14.8,36.54,57.15,87,0,7.83,clear sky,0.0,0.0
124,Kitgum,UG,3.28,32.89,65.7,93,79,1.45,moderate rain,1.28,0.0
125,Qaanaaq,GL,77.48,-69.36,38.89,74,0,2.15,clear sky,0.0,0.0
126,Sao Joao Da Barra,BR,-21.64,-41.05,70.7,83,1,14.83,clear sky,0.0,0.0
127,Mizdah,LY,31.45,12.98,68.59,48,0,2.39,clear sky,0.0,0.0
128,Bambous Virieux,MU,-20.34,57.76,66.0,93,20,4.7,few clouds,0.0,0.0
129,Airai,TL,-8.93,125.41,68.7,62,12,3.89,few clouds,0.0,0.0
130,Ribeira Grande,PT,38.52,-28.7,66.99,95,51,7.0,broken clouds,0.0,0.0
131,Grindavik,IS,63.84,-22.43,46.4,100,90,8.05,light intensity drizzle,0.0,0.0
