City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,General Roca,AR,2020-06-24 19:34:23,-39.03,-67.58,50.0,46,69,9.17
71,Blind River,CA,2020-06-24 19:34:23,46.18,-82.96,60.8,82,90,20.8
72,Mulege,MX,2020-06-24 19:34:23,26.88,-111.98,94.93,29,2,11.21
73,Santa Cruz,BO,2020-06-24 19:34:23,-17.8,-63.17,78.8,58,75,26.4
74,Klaksvik,FO,2020-06-24 19:34:23,62.23,-6.59,51.8,87,93,16.11
75,Kavieng,PG,2020-06-24 19:34:23,-2.57,150.8,82.36,75,4,9.84
76,Avarua,CK,2020-06-24 19:34:23,-21.21,-159.78,75.2,88,29,5.82
77,Birin,NP,2020-06-24 19:34:24,26.89,88.07,64.47,100,100,3.4
78,Meulaboh,ID,2020-06-24 19:34:24,4.14,96.13,77.45,83,97,4.92
79,Bluff,NZ,2020-06-24 19:34:24,-46.6,168.33,48.04,86,88,19.22
80,Plettenberg Bay,ZA,2020-06-24 19:34:24,-34.05,23.37,74.25,24,0,13.69
81,Basoko,CD,2020-06-24 19:34:24,1.24,23.62,77.43,71,78,0.92
82,Ribeira Grande,PT,2020-06-24 19:34:24,38.52,-28.7,68.0,56,20,13.87
83,Malakal,SS,2020-06-24 19:34:24,9.53,31.66,78.08,76,87,3.49
84,East London,ZA,2020-06-24 19:34:25,-33.02,27.91,69.48,27,0,7.14
85,Balabac,PH,2020-06-24 19:34:25,7.99,117.06,82.83,73,48,4.97
86,Colares,PT,2020-06-24 19:34:25,38.8,-9.45,69.01,72,20,25.28
87,Ca Mau,VN,2020-06-24 19:34:25,9.18,105.15,78.94,91,100,3.58
88,Dubai,AE,2020-06-24 19:30:33,25.26,55.3,96.8,56,16,6.93
89,Jiwani,PK,2020-06-24 19:34:26,25.05,61.74,85.33,78,0,3.15
90,Sechura,PE,2020-06-24 19:34:26,-5.56,-80.82,76.15,55,74,14.72
91,Komsomolskiy,UZ,2020-06-24 19:34:26,40.43,71.72,75.2,33,0,4.7
92,Pocatello,US,2020-06-24 19:33:42,42.87,-112.45,84.2,37,40,9.17
93,Bereznik,RU,2020-06-24 19:34:27,62.86,42.71,47.12,68,100,5.79
94,La Asuncion,VE,2020-06-24 19:34:27,11.03,-63.86,89.6,59,19,14.99
95,Berlevag,NO,2020-06-24 19:34:27,70.86,29.09,46.4,87,75,14.99
96,Bambous Virieux,MU,2020-06-24 19:34:27,-20.34,57.76,73.4,69,40,11.41
97,Mantua,IT,2020-06-24 19:34:27,45.17,10.78,77.0,53,1,8.05
98,Boulsa,BF,2020-06-24 19:34:27,12.67,-0.58,94.39,31,24,4.47
99,Tuktoyaktuk,CA,2020-06-24 19:34:27,69.45,-133.04,41.0,75,40,8.05
100,Port Macquarie,AU,2020-06-24 19:34:28,-31.43,152.92,46.99,87,2,9.75
101,Uyovu,TZ,2020-06-24 19:34:28,-3.28,31.53,74.77,47,96,4.83
102,Andros Town,BS,2020-06-24 19:34:28,24.7,-77.77,87.8,66,40,4.7
103,Camargo,MX,2020-06-24 19:34:28,27.67,-105.17,93.11,20,46,5.66
104,Minot,US,2020-06-24 19:34:29,48.23,-101.3,86.0,33,1,18.34
105,Bridlington,GB,2020-06-24 19:34:29,54.08,-0.19,69.8,64,0,9.17
106,Hithadhoo,MV,2020-06-24 19:34:29,-0.6,73.08,84.0,76,97,10.02
107,Morristown,US,2020-06-24 19:29:35,36.21,-83.29,81.0,44,75,8.05
108,Nichinan,JP,2020-06-24 19:34:29,31.6,131.37,73.4,83,90,3.36
109,Kruisfontein,ZA,2020-06-24 19:34:29,-34.0,24.73,63.32,28,0,8.16
110,Mzimba,MW,2020-06-24 19:34:29,-11.9,33.6,58.23,82,0,8.37
111,Merauke,ID,2020-06-24 19:34:29,-8.47,140.33,76.91,88,0,11.32
112,Mount Gambier,AU,2020-06-24 19:30:58,-37.83,140.77,46.4,93,0,11.41
113,Topolobampo,MX,2020-06-24 19:34:30,25.6,-109.05,98.01,29,5,12.77
114,Sangar,RU,2020-06-24 19:34:30,63.92,127.47,61.0,62,0,4.16
115,Cidreira,BR,2020-06-24 19:34:30,-30.18,-50.21,70.66,70,28,7.2
116,Mudanya,TR,2020-06-24 19:32:59,40.38,28.88,71.6,77,0,2.24
117,Severo-Kurilsk,RU,2020-06-24 19:34:30,50.68,156.12,48.94,81,1,6.62
118,Tilichiki,RU,2020-06-24 19:34:30,60.47,166.1,54.79,59,32,4.54
119,Cabo San Lucas,MX,2020-06-24 19:30:06,22.89,-109.91,91.4,33,5,12.75
