City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bambous Virieux,MU,2020-06-30 19:11:52,-20.34,57.76,66.99,93,20,6.93
70,Pevek,RU,2020-06-30 19:11:39,69.7,170.31,34.36,97,100,10.4
71,Guanambi,BR,2020-06-30 19:16:14,-14.22,-42.78,83.01,44,75,6.67
72,Road Town,VG,2020-06-30 19:16:12,18.42,-64.62,87.8,62,40,9.17
73,Spanish Town,JM,2020-06-30 19:16:14,17.99,-76.96,86.0,70,40,20.8
74,Xining,CN,2020-06-30 19:12:10,36.62,101.77,55.76,83,100,2.19
75,Kholodnyy,RU,2020-06-30 19:16:14,62.72,147.95,47.89,61,62,7.83
76,Krasnoarmeyskiy,RU,2020-06-30 19:16:14,47.01,42.21,71.65,60,1,7.16
77,Emba,KZ,2020-06-30 19:16:14,48.83,58.14,61.81,49,0,8.48
78,Bengkulu,ID,2020-06-30 19:11:41,-3.8,102.27,76.01,78,0,3.83
79,Fortuna,US,2020-06-30 19:12:09,40.6,-124.16,66.99,77,1,17.22
80,Georgetown,MY,2020-06-30 19:10:14,5.41,100.34,82.4,94,20,3.36
81,Lebu,CL,2020-06-30 19:11:39,-37.62,-73.65,53.22,85,100,16.53
82,Umm Lajj,SA,2020-06-30 19:16:15,25.02,37.27,83.07,53,0,3.6
83,Mar Del Plata,AR,2020-06-30 19:11:24,-38.0,-57.56,51.01,81,90,20.8
84,Raudeberg,NO,2020-06-30 19:16:15,61.99,5.14,53.01,80,86,27.13
85,Albany,US,2020-06-30 19:11:42,42.6,-73.97,78.01,88,96,4.52
86,Pittsburg,US,2020-06-30 19:16:15,38.03,-121.88,88.0,36,0,1.99
87,Beyneu,KZ,2020-06-30 19:14:42,45.32,55.2,77.74,42,77,7.09
88,Gat,IL,2020-06-30 19:12:26,31.61,34.76,78.01,71,0,2.44
89,Araouane,ML,2020-06-30 19:12:06,18.9,-3.53,102.42,12,0,10.33
90,Jamestown,US,2020-06-30 19:09:36,42.1,-79.24,80.01,60,75,10.29
91,Garden City,US,2020-06-30 19:12:13,42.33,-83.33,89.01,35,40,5.82
92,Okhotsk,RU,2020-06-30 19:14:50,59.38,143.3,53.19,59,0,12.8
93,Barrow,US,2020-06-30 19:07:55,71.29,-156.79,39.2,86,90,3.36
94,Vaitape,PF,2020-06-30 19:14:42,-16.52,-151.75,79.12,74,0,26.62
95,Benxi,CN,2020-06-30 19:16:16,41.29,123.77,66.2,100,100,2.24
96,San Quintin,MX,2020-06-30 19:14:35,30.48,-115.95,68.76,60,0,13.04
97,Kushmurun,KZ,2020-06-30 19:16:16,52.45,64.63,51.3,93,25,7.29
98,Yellowknife,CA,2020-06-30 19:11:08,62.46,-114.35,78.01,41,20,6.93
99,Terra Santa,BR,2020-06-30 19:16:16,-2.1,-56.49,88.05,61,3,4.47
100,Hambantota,LK,2020-06-30 19:11:50,6.12,81.12,80.6,100,75,5.82
101,Chuy,UY,2020-06-30 19:11:59,-33.7,-53.46,58.91,95,100,6.51
102,Assiniboia,CA,2020-06-30 19:16:16,49.63,-105.98,65.17,85,100,5.66
